idt,sex,pari,city,migra,pari2,pari3,dens1,denscat1,age,agegr,civ3,civ4,educ,occup,mpm
37601,2,1,3,0,2,2,2,3,44,2,3,4,1,1,1
37701,2,0,3,0,1,1,.8,1,59,3,3,4,1,2,0
37805,2,1,3,1,2,2,1.2,2,19,1,2,2,2,1,1
37902,2,0,1,1,1,1,2.5,3,17,1,1,1,1,1,0
38001,1,1,1,1,2,2,1.5,2,48,3,2,2,1,1,1
38002,2,4,3,0,2,3,2,3,33,2,2,2,1,2,1
38101,2,1,1,1,2,2,1,2,28,1,3,4,2,1,1
38201,1,0,3,1,1,1,1,2,49,3,2,2,1,1,0
38501,2,0,2,1,1,1,2,3,50,3,2,2,1,1,1
38702,2,0,3,1,1,1,1,2,45,3,1,1,1,1,0
38802,2,1,2,1,2,2,2,3,23,1,2,2,1,1,0
38902,2,1,2,1,2,2,1,2,46,3,2,2,1,2,1
39102,2,2,2,1,2,2,4,3,26,1,2,2,1,2,1
39104,2,0,1,1,1,1,1.5,2,25,1,1,1,2,1,1
39203,1,0,1,1,1,1,1.5,2,30,2,1,1,2,1,1
39802,2,3,2,1,2,3,1.7,2,40,2,2,2,2,1,1
39902,2,0,3,1,1,1,1,2,16,1,2,2,1,2,0
39906,1,0,2,1,1,1,7,3,15,1,1,1,1,1,0
40001,1,2,3,1,2,2,4,3,27,1,2,2,1,1,1
40201,2,1,2,1,2,2,1.7,2,52,3,3,3,2,1,0
40302,1,0,1,1,1,1,1.5,2,20,1,1,1,2,1,1
40501,2,0,2,1,1,1,2,3,52,3,3,3,1,2,1
40601,1,0,3,1,1,1,1,2,71,3,2,2,1,1,0
40802,2,3,2,1,2,3,2.5,3,27,1,2,2,2,2,0
41001,1,0,2,1,1,1,.7,1,45,3,2,2,1,1,0
41302,2,0,2,0,1,1,1,2,21,1,1,1,2,1,1
41304,1,0,3,0,1,1,1.2,2,15,1,1,1,1,1,0
41402,2,0,2,1,1,1,1,2,70,3,2,2,1,2,1
41501,2,0,2,1,1,1,1,2,49,3,1,1,1,1,0
41703,2,0,2,1,1,1,2.5,3,39,2,1,1,1,1,0
41801,2,0,2,1,1,1,.5,1,67,3,3,3,1,3,1
41901,2,0,2,1,1,1,2,3,32,2,1,1,2,1,0
41902,2,0,2,1,1,1,2,3,27,1,1,1,1,1,0
42102,2,2,2,1,2,2,2,3,24,1,2,2,1,2,0
42202,2,0,2,1,1,1,1.3,2,54,3,2,2,1,3,1
42402,2,1,2,1,2,2,3,3,30,2,2,2,1,2,0
42501,2,0,2,1,1,1,.6,1,60,3,2,2,1,2,0
42502,1,0,2,1,1,1,.6,1,58,3,2,2,1,1,0
42603,2,2,2,0,2,2,1.7,2,33,2,2,2,1,1,1
42702,2,1,2,1,2,2,3,3,31,2,2,2,1,1,0
42802,2,0,2,1,1,1,1,2,51,3,3,3,1,1,0
43102,2,0,3,0,1,1,.8,1,34,2,1,1,2,1,1
